"File","Line","Status","MatchedClass","MatchedId","Snippet"
"src\core\playwright_base_page.py","233","MATCH","button","","button: Mouse button ('left', 'right', 'middle')"
"src\core\playwright_base_page.py","269","MATCH","button","","self.click(selector, timeout=timeout, button='right')"
"src\core\session_manager.py","94","MATCH","button","",""".logout-button"","
"src\pages\selectors.py","19","MATCH","button","","SEND_OTP_BUTTON = ""button.send-otp-button, button.ant-btn.send-otp-button, button[class*='send-otp-button']"""
"src\pages\selectors.py","23","MATCH","button","","VERIFY_OTP_BUTTON = ""button.verify-button, button.ant-btn.verify-button, button[class*='verify-button'], button[type='submit'], button.verify-otp-button"""
"src\pages\selectors.py","36","MATCH","button","","CHATBOT_SUBMIT_BUTTON = ""button.venture-box-voice-button"""
"src\pages\wadhwani_business_queries_android_cdp.py","55","MATCH","button","","send_button = self.page.locator(BusinessQueriesXPaths.SUBMIT_BUTTON_XPATH)"
"src\pages\wadhwani_business_queries_android_cdp.py","56","MATCH","button","","send_button.wait_for(state=""visible"", timeout=10000)"
"src\pages\wadhwani_business_queries_android_cdp.py","57","MATCH","button","","send_button.click()"
"src\pages\wadhwani_business_queries_android_cdp.py","83","MATCH","button","","send_button = self.page.locator(BusinessQueriesXPaths.CHAT_SUBMIT_BUTTON)"
"src\pages\wadhwani_business_queries_android_cdp.py","84","MATCH","button","","send_button.wait_for(state=""visible"", timeout=10000)"
"src\pages\wadhwani_business_queries_android_cdp.py","85","MATCH","button","","send_button.click()"
"src\pages\wadhwani_business_queries_android_cdp.py","127","MATCH","button","","submit_btn = self.page.locator(BusinessQueriesXPaths.SUBMIT_BUTTON_XPATH)"
"src\pages\wadhwani_business_queries_android_cdp.py","195","MATCH","button","","# Click Send button"
"src\pages\wadhwani_business_queries_android_cdp.py","196","MATCH","button","","send_btn = self.page.locator(BusinessQueriesXPaths.SUBMIT_BUTTON_XPATH)"
"src\pages\wadhwani_business_queries_android_cdp.py","233","MATCH","button","","first_question = self.page.locator(BusinessQueriesXPaths.RELATED_QUESTION_BUTTON)"
"src\pages\wadhwani_business_queries_android_cdp.py","289","MATCH","button","","3. Wait for 'Branch New Chat' button"
"src\pages\wadhwani_business_queries_android_cdp.py","313","MATCH","button","","# EXTRA WAIT to ensure Branch button becomes visible"
"src\pages\wadhwani_business_queries_android_cdp.py","316","MATCH","button","","# Wait for Branch New Chat button to appear"
"src\pages\wadhwani_business_queries_android_cdp.py","317","MATCH","button","","branch_btn = self.page.locator(BusinessQueriesXPaths.BRANCH_BUTTON)"
"src\pages\wadhwani_business_queries_android_cdp.py","318","MATCH","button","","logger.info(""â³ Waiting for 'Branch New Chat' button..."")"
"src\pages\wadhwani_business_queries_android_cdp.py","321","MATCH","button","","logger.info(""âœ… Branch New Chat button appeared!"")"
